Scopus search,,,,,,
"search terms: TITLE-ABS-KEY ((""biological record*"" OR ""citizen science"" OR (atlas AND species) OR gbif OR ""Global Biodiversity Information Facility"" OR eBird OR ""National Biodiversity Data Centre"" OR ""NBN"" OR ""National Biodiversity Network"" OR ""Centre for Environmental Data and Recording"") AND (""Great Britain"" OR Ireland OR Scotland OR Wales OR ""Northern Ireland"" OR ""British Isles"" OR UK OR ""United Kingdom"") AND NOT (cancer OR disease OR palliative OR ""cross-sectional"" OR ""cross sectional"" OR ""New South Wales"" OR Pyle OR marmoset))",,,,,,
15 June 2018,,,,,,
,,,,,,
author,title,year,Source title,doi,link,search_venue
"Foster, G., Bennett, J., Sparks, T.",An assessment of bumblebee (Bombus spp) land use and floral preference in UK gardens and allotments cultivated for food,2017,Urban Ecosystems,10.1007/s11252-016-0604-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991020810&doi=10.1007%2fs11252-016-0604-7&partnerID=40&md5=18c100e652c3ab552c41029a78ff8f90,Scopus
"McGoff, E., Dunn, F., Cachazo, L.M., Williams, P., Biggs, J., Nicolet, P., Ewald, N.C.",Finding clean water habitats in urban landscapes: professional researcher vs citizen science approaches,2017,Science of the Total Environment,10.1016/j.scitotenv.2016.11.215,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007547952&doi=10.1016%2fj.scitotenv.2016.11.215&partnerID=40&md5=2b616e87b20b54b0c2561626803b9341,Scopus
"López-Baucells, A., Casanova, L., Puig-Montserrat, X., Espinal, A., Páramo, F., Flaquer, C.",Evaluating the use of Myotis daubentonii as an ecological indicator in Mediterranean riparian habitats,2017,Ecological Indicators,10.1016/j.ecolind.2016.11.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84996560224&doi=10.1016%2fj.ecolind.2016.11.012&partnerID=40&md5=e987cbbeaaa96edb410776c337f49d49,Scopus
"Dennis, E.B., Morgan, B.J.T., Freeman, S.N., Ridout, M.S., Brereton, T.M., Fox, R., Powney, G.D., Roy, D.B.",Efficient occupancy model-fitting for extensive citizen-science data,2017,PLoS ONE,10.1371/journal.pone.0174433,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015985008&doi=10.1371%2fjournal.pone.0174433&partnerID=40&md5=de2cb2a91127dd651c1a0b5c6017c4b5,Scopus
"Barkaoui, M., Katiri, A., Boubaker, H., Msanda, F.","Ethnobotanical survey of medicinal plants used in the traditional treatment of diabetes in Chtouka Ait Baha and Tiznit (Western Anti-Atlas), Morocco",2017,Journal of Ethnopharmacology,10.1016/j.jep.2017.01.023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010441699&doi=10.1016%2fj.jep.2017.01.023&partnerID=40&md5=d71d652a915d87018ad1f991e6818d6e,Scopus
"Nelms, S.E., Coombes, C., Foster, L.C., Galloway, T.S., Godley, B.J., Lindeque, P.K., Witt, M.J.",Marine anthropogenic litter on British beaches: A 10-year nationwide assessment using citizen science data,2017,Science of the Total Environment,10.1016/j.scitotenv.2016.11.137,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007291416&doi=10.1016%2fj.scitotenv.2016.11.137&partnerID=40&md5=4bef0e13ad9ed6f03b943b572389c446,Scopus
"Jacobs, C., Zipf, A.",Completeness of citizen science biodiversity data from a volunteered geographic information perspective,2017,Geo-Spatial Information Science,10.1080/10095020.2017.1288424,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013807658&doi=10.1080%2f10095020.2017.1288424&partnerID=40&md5=f58e741bd16ef6442ab5ea1212070c18,Scopus
"Parry, S.",Amateur science in activist performance: towards a slow science,2017,Contemporary Theatre Review,10.1080/10486801.2016.1262847,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017538409&doi=10.1080%2f10486801.2016.1262847&partnerID=40&md5=f622bec65688859cd05bd85db88357af,Scopus
"Hyder, K., Wright, S., Kirby, M., Brant, J.",The role of citizen science in monitoring small-scale pollution events,2017,Marine Pollution Bulletin,10.1016/j.marpolbul.2017.04.038,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019007589&doi=10.1016%2fj.marpolbul.2017.04.038&partnerID=40&md5=ae88e893dd23ff6e0b80d5a346092334,Scopus
"O'Brien, D., Hall, J., Miró, A., Wilkinson, J.",Testing the validity of a commonly-used habitat suitability index at the edge of a species' range: Great crested newt Triturus cristatus in Scotland,2017,Amphibia Reptilia,10.1163/15685381-00003108,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027060374&doi=10.1163%2f15685381-00003108&partnerID=40&md5=6f872ff4db0f77533424eb3762838668,Scopus
"Faulkner, S.C., Verity, R., Roberts, D., Roy, S.S., Robertson, P.A., Stevenson, M.D., Le Comber, S.C.",Using geographic profiling to compare the value of sightings vs trap data in a biological invasion,2017,Diversity and Distributions,10.1111/ddi.12498,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002244078&doi=10.1111%2fddi.12498&partnerID=40&md5=5170c99104159af4e51448309371556b,Scopus
"Wicks, L.C., Cairns, G.S., Melnyk, J., Bryce, S., Duncan, R.R., Dalgarno, P.A.",EnLightenment: High resolution smartphone microscopy as an educational and public engagement platform [version 1; referees: 2 approved],2017,Wellcome Open Research,10.12688/wellcomeopenres.12841.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045511258&doi=10.12688%2fwellcomeopenres.12841.1&partnerID=40&md5=c5f73b83693a57b468eb9a73d4dd6936,Scopus
"Hardy, P.B., Jeffcoate, G.E., Dennis, R.L.H.","Butterflies (Papilionoidea) on the Isle of Man: Losses, gains and predictions",2017,Entomologist's Gazette,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034660681&partnerID=40&md5=941f325d2d082ff8fc07133337f901d1,Scopus
"Brodschneider, R., Gray, A., van der Zee, R., Adjlane, N., Brusbardis, V., Charrière, J.-D., Chlebo, R., Coffey, M.F., Crailsheim, K., Dahle, B., Danihlík, J., Danneels, E., de Graaf, D.C., Dražić, M.M., Fedoriak, M., Forsythe, I., Golubovski, M., Gregorc, A., Grzęda, U., Hubbuck, I., İvgin Tunca, R., Kauko, L., Kilpinen, O., Kretavicius, J., Kristiansen, P., Martikkala, M., Martín-Hernández, R., Mutinelli, F., Peterson, M., Otten, C., Ozkirim, A., Raudmets, A., Simon-Delso, N., Soroker, V., Topolska, G., Vallon, J., Vejsnæs, F., Woehl, S.",Preliminary analysis of loss rates of honey bee colonies during winter 2015/16 from the COLOSS survey,2016,Journal of Apicultural Research,10.1080/00218839.2016.1260240,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008950106&doi=10.1080%2f00218839.2016.1260240&partnerID=40&md5=18fdf57ec66357ab32a49fa944ab6e6b,Scopus
"Dennis, E.B., Morgan, B.J.T., Freeman, S.N., Brereton, T.M., Roy, D.B.",A generalized abundance index for seasonal invertebrates,2016,Biometrics,10.1111/biom.12506,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995542979&doi=10.1111%2fbiom.12506&partnerID=40&md5=9b3b75633f26cc1363b1c1ca3c8b210d,Scopus
"Akom, A., Shah, A., Nakai, A., Cruz, T.",Youth Participatory Action Research (YPAR) 2.0: how technological innovation and digital organizing sparked a food revolution in East Oakland,2016,International Journal of Qualitative Studies in Education,10.1080/09518398.2016.1201609,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991296009&doi=10.1080%2f09518398.2016.1201609&partnerID=40&md5=0060031748a4ba3b7a252f95b072a7fb,Scopus
"Simonis, I., De Lathouwer, B., Taylor, T.",Sensor Web Enablement (SWE) for citizen science,2016,International Geoscience and Remote Sensing Symposium (IGARSS),10.1109/IGARSS.2016.7729937,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007426123&doi=10.1109%2fIGARSS.2016.7729937&partnerID=40&md5=38d7ed8b2dced7104aa6ca6bb3126a44,Scopus
"Kelly, M.G., Krokowski, J., Harding, J.P.C.",RAPPER: A new method for rapid assessment of macroalgae as a complement to diatom-based assessments of ecological status,2016,Science of the Total Environment,10.1016/j.scitotenv.2015.12.068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952890614&doi=10.1016%2fj.scitotenv.2015.12.068&partnerID=40&md5=02212eb31f517e1643aa606e17bd80dc,Scopus
"Merlo, V., Pietropaolo, A., Celentano, G., Cirillo, M., Lucci, M., Ottaviani, I., Salvato, M., Scherillo, A., Schooneveld, E.M., Vannozzi, A.",Superconducting thermal neutron detectors,2016,Journal of Physics: Conference Series,10.1088/1742-6596/746/1/012019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994357551&doi=10.1088%2f1742-6596%2f746%2f1%2f012019&partnerID=40&md5=af783ab47fb29164d1190f5dfcf7370a,Scopus
"Holloway, P., Miller, J.A., Gillings, S.",Incorporating movement in species distribution models: how do simulations of dispersal affect the accuracy and uncertainty of projections?,2016,International Journal of Geographical Information Science,10.1080/13658816.2016.1158823,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961391381&doi=10.1080%2f13658816.2016.1158823&partnerID=40&md5=9daff67993feff9b7bd8b4acd19459ea,Scopus
"Phillimore, A.B., Leech, D.I., Pearce-Higgins, J.W., Hadfield, J.D.",Passerines may be sufficiently plastic to track temperature-mediated shifts in optimum lay date,2016,Global change biology,10.1111/gcb.13302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027952717&doi=10.1111%2fgcb.13302&partnerID=40&md5=d61dd5262d18ba15e816de060f2d035e,Scopus
"Barnard, L., Portas, A.M., Gray, S.L., Harrison, R.G.",The National EclipseWeather Experiment: An assessment of citizen scientist,2016,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",10.1098/rsta.2015.0220,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983567705&doi=10.1098%2frsta.2015.0220&partnerID=40&md5=0fe87f399806c697f3418b96c1dc383b,Scopus
"Portas, A.M., Barnard, L., Scott, C., Harrison, R.G.",The National EclipseWeather Experiment: Use and evaluation of a citizen science tool for schools outreach,2016,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",10.1098/rsta.2015.0223,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983490211&doi=10.1098%2frsta.2015.0223&partnerID=40&md5=1b35e158d34801b783465f0b2aca20b3,Scopus
"Harrison, R.G., Hanna, E.",The solar eclipse: A natural meteorological experiment,2016,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",10.1098/rsta.2015.0225,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84983567885&doi=10.1098%2frsta.2015.0225&partnerID=40&md5=971bfd7388efdaad9b33298764e5f473,Scopus
"Boakes, E.H., Gliozzo, G., Seymour, V., Harvey, M., Smith, C., Roy, D.B., Haklay, M.",Patterns of contribution to citizen science biodiversity projects increase understanding of volunteers' recording behaviour,2016,Scientific Reports,10.1038/srep33051,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987602289&doi=10.1038%2fsrep33051&partnerID=40&md5=fa9c7b785825db11f42bc9955f19fb25,Scopus
"Vaz Monteiro, M., Doick, K.J., Handley, P.",Allometric relationships for urban trees in Great Britain,2016,Urban Forestry and Urban Greening,10.1016/j.ufug.2016.07.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982743581&doi=10.1016%2fj.ufug.2016.07.009&partnerID=40&md5=51c9b9c8644023e7c87307ea12a571c7,Scopus
"Finch, M.",The technical apparatus of the Warburg Haus,2016,Journal of Visual Art Practice,10.1080/14702029.2016.1228804,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010825765&doi=10.1080%2f14702029.2016.1228804&partnerID=40&md5=2f25fd4ec6ff97aa4e522abf89c9247c,Scopus
"Rosenzweig, M.L.",Green roofs: new ecosystems to defend species diversity,2016,Israel Journal of Ecology and Evolution,10.1080/15659801.2015.1121600,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987629878&doi=10.1080%2f15659801.2015.1121600&partnerID=40&md5=e0ef31c219c8402b15ca8e0d2c1f0592,Scopus
"Wansi, J.D., Wandji, J., Sewald, N., Nahar, L., Martin, C., Sarker, S.D.",Phytochemistry and pharmacology of the genus Drypetes: A review,2016,Journal of Ethnopharmacology,10.1016/j.jep.2016.06.060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978431930&doi=10.1016%2fj.jep.2016.06.060&partnerID=40&md5=cddc055c7780548c08c7c4937aa2913a,Scopus
"Tosh, J., James, K., Rumsey, F., Crookshank, A., Dyer, R., Hopkins, D.",Is DNA barcoding child's play? Science education and the utility of DNA barcoding for the discrimination of UK tree species,2016,Botanical Journal of the Linnean Society,10.1111/boj.12449,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84976878630&doi=10.1111%2fboj.12449&partnerID=40&md5=cd63940c4f186a6dfde9eff7a8a7133a,Scopus
"Hof, A.R., Bright, P.W.",Quantifying the long-term decline of the West European hedgehog in England by subsampling citizen-science datasets,2016,European Journal of Wildlife Research,10.1007/s10344-016-1013-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966644181&doi=10.1007%2fs10344-016-1013-1&partnerID=40&md5=4a4c90126a9fec7b555bf17f2f69f4de,Scopus
"Everett, G., Geoghegan, H.",Initiating and continuing participation in citizen science for natural history,2016,BMC Ecology,10.1186/s12898-016-0062-3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979010335&doi=10.1186%2fs12898-016-0062-3&partnerID=40&md5=20ad952fad1ab575adab0bcb10f412f6,Scopus
"Lakeman-Fraser, P., Gosling, L., Moffat, A.J., West, S.E., Fradera, R., Davies, L., Ayamba, M.A., Wal, R.",To have your citizen science cake and eat it? Delivering research and outreach through Open Air Laboratories (OPAL),2016,BMC Ecology,10.1186/s12898-016-0065-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978933848&doi=10.1186%2fs12898-016-0065-0&partnerID=40&md5=9ee82c254b5147c697c3f01cbbedc5b2,Scopus
"Gosling, L., Sparks, T.H., Araya, Y., Harvey, M., Ansine, J.",Differences between urban and rural hedges in England revealed by a citizen science project,2016,BMC Ecology,10.1186/s12898-016-0064-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978999261&doi=10.1186%2fs12898-016-0064-1&partnerID=40&md5=fb9883ab9ae199b37983e303bed2ab51,Scopus
"Davies, L., Fradera, R., Riesch, H., Lakeman-Fraser, P.","Surveying the citizen science landscape: An exploration of the design, delivery and impact of citizen science through the lens of the Open Air Laboratories (OPAL) programme",2016,BMC Ecology,10.1186/s12898-016-0066-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979085120&doi=10.1186%2fs12898-016-0066-z&partnerID=40&md5=6e0f58e09528e0f40f2387eb0bef148e,Scopus
"Rose, N.L., Turner, S.D., Goldsmith, B., Gosling, L., Davidson, T.A.",Quality control in public participation assessments of water quality: The OPAL Water Survey,2016,BMC Ecology,10.1186/s12898-016-0063-2,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978983188&doi=10.1186%2fs12898-016-0063-2&partnerID=40&md5=ed76bee5ef80060f60c855c19c90744a,Scopus
"Nguy-Robertson, A.L., Brinley Buckley, E.M., Suyker, A.S., Awada, T.N.",Determining factors that impact the calibration of consumer-grade digital cameras used for vegetation analysis,2016,International Journal of Remote Sensing,10.1080/01431161.2016.1199061,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982883556&doi=10.1080%2f01431161.2016.1199061&partnerID=40&md5=3f589ef193a22f86ff44b52db654ad10,Scopus
"Newson, S.E., Moran, N.J., Musgrove, A.J., Pearce-Higgins, J.W., Gillings, S., Atkinson, P.W., Miller, R., Grantham, M.J., Baillie, S.R.",Long-term changes in the migration phenology of UK breeding birds detected by large-scale citizen science recording schemes,2016,Ibis,10.1111/ibi.12367,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963930482&doi=10.1111%2fibi.12367&partnerID=40&md5=7845cbbc4b31393d35030e32c713e524,Scopus
"Entradas, M.",What is the public’s role in ‘space’ policymaking? Images of the public by practitioners of ‘space’ communication in the United Kingdom,2016,Public Understanding of Science,10.1177/0963662515579838,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977119095&doi=10.1177%2f0963662515579838&partnerID=40&md5=2d44402477dcfb6e3f76f40b94ce9dae,Scopus
"Rahim, N., Chakali, G., Battisti, A.","Egg mortality in the cedar processionary moth, Thaumetopoea bonjeani (Lepidoptera: Notodontidae), in an outbreak area of Algeria",2016,Biocontrol Science and Technology,10.1080/09583157.2016.1160029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964308604&doi=10.1080%2f09583157.2016.1160029&partnerID=40&md5=0eabbd7d63173007eb1ab6d9d4a2fe40,Scopus
"Turnhout, E., Lawrence, A., Turnhout, S.",Citizen science networks in natural history and the collective validation of biodiversity data,2016,Conservation Biology,10.1111/cobi.12696,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964497632&doi=10.1111%2fcobi.12696&partnerID=40&md5=706f2c43ca81c059b78536a6ac88f014,Scopus
"Dehnen-Schmutz, K., Foster, G.L., Owen, L., Persello, S.",Exploring the role of smartphone technology for citizen science in agriculture,2016,Agronomy for Sustainable Development,10.1007/s13593-016-0359-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962861109&doi=10.1007%2fs13593-016-0359-9&partnerID=40&md5=61859e167e49180ef0858662975d31bf,Scopus
"Maderson, S., Wynne-Jones, S.",Beekeepers' knowledges and participation in pollinator conservation policy,2016,Journal of Rural Studies,10.1016/j.jrurstud.2016.02.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962493533&doi=10.1016%2fj.jrurstud.2016.02.015&partnerID=40&md5=ef50d23c96a9a7b74cc2822eb4e62a4b,Scopus
"Jalbert, K., Kinchy, A.J.",Sense and Influence: Environmental Monitoring Tools and the Power of Citizen Science,2016,Journal of Environmental Policy and Planning,10.1080/1523908X.2015.1100985,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945367405&doi=10.1080%2f1523908X.2015.1100985&partnerID=40&md5=e8084877e864cab987bc3be334bbd616,Scopus
"Siddiqui, J., Hussain, T., Ahmad, R., Umar, Z.A., Samad, U.A.","Structural, morphological and mechanical properties of niobium nitride thin films grown by ion and electron beams emanated from plasma",2016,Radiation Effects and Defects in Solids,10.1080/10420150.2016.1203923,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979073670&doi=10.1080%2f10420150.2016.1203923&partnerID=40&md5=a998cfb933ff7f10801602c5ffad2af4,Scopus
"Paine, G.",Ecologies of Listening and Presence: Perspectives from a Practitioner,2016,Contemporary Music Review,10.1080/07494467.2016.1239385,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84991030795&doi=10.1080%2f07494467.2016.1239385&partnerID=40&md5=89144ac1ab976fbf020286d56b13fe8b,Scopus
"Siddharthan, A., Lambin, C., Robinson, A.-M., Sharma, N., Comont, R., O'mahony, E., Mellish, C., Van Der Wal, R.",Crowdsourcing without a crowd: Reliable online species identification using Bayesian models to minimize crowd size,2016,ACM Transactions on Intelligent Systems and Technology,10.1145/2776896,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969916130&doi=10.1145%2f2776896&partnerID=40&md5=80a913c2c7857a569ed1c38a5d81747a,Scopus
"Santangeli, A., Arroyo, B., Dicks, L.V., Herzon, I., Kukkala, A.S., Sutherland, W.J., Moilanen, A.",Voluntary non-monetary approaches for implementing conservation,2016,Biological Conservation,10.1016/j.biocon.2016.03.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962205365&doi=10.1016%2fj.biocon.2016.03.013&partnerID=40&md5=e82d1ba29f952a25fbc5577b815a7351,Scopus
"Gharesifard, M., Wehn, U.",To share or not to share: Drivers and barriers for sharing data via online amateur weather networks,2016,Journal of Hydrology,10.1016/j.jhydrol.2016.01.036,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957917047&doi=10.1016%2fj.jhydrol.2016.01.036&partnerID=40&md5=47e342c28e20d6bfbbd1424140f3bab2,Scopus
"Sennikov, A.N., Hjertson, M., Salvesen, P.H.","Atlas Florae Europaeae Notes 27. Taxonomy of the Sorbus arranensis Group (Rosaceae) in Norway, a Hybrid Aggregate between S. aria s. lato and S. aucuparia",2016,Annales Botanici Fennici,10.5735/085.053.0201,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966470183&doi=10.5735%2f085.053.0201&partnerID=40&md5=aceb6dd77a17f8d3e6c792cb91dfe4d1,Scopus
"Roy, H.E., Baxter, E., Saunders, A., Pocock, M.J.O.",Focal plant observations as a standardised method for pollinator monitoring: Opportunities and limitations for mass participation citizen science,2016,PLoS ONE,10.1371/journal.pone.0150794,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85020332504&doi=10.1371%2fjournal.pone.0150794&partnerID=40&md5=e21343441ea9c82b73ec9826be901dd8,Scopus
"Winfield, I.J.","Recreational fisheries in the UK: natural capital, ecosystem services, threats, and management",2016,Fisheries Science,10.1007/s12562-016-0967-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961191575&doi=10.1007%2fs12562-016-0967-y&partnerID=40&md5=1fd006af1dc5dc140e5ea9a0214e6e8e,Scopus
"Jellema, J., Mulder, H.A.J.",Public engagement in energy research,2016,Energies,10.3390/en9030125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84962878040&doi=10.3390%2fen9030125&partnerID=40&md5=2e251e5bc967cda4d263a0cb5a7287d5,Scopus
"Chaves, L.C.T., Hall, J., Feitosa, J.L.L., Côté, I.M.",Photo-identification as a simple tool for studying invasive lionfish Pterois volitans populations,2016,Journal of Fish Biology,10.1111/jfb.12857,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959563994&doi=10.1111%2fjfb.12857&partnerID=40&md5=bb69a83cc15e1c0325a98ce75a087b74,Scopus
"Pikesley, S.K., Godley, B.J., Latham, H., Richardson, P.B., Robson, L.M., Solandt, J.-L., Trundle, C., Wood, C., Witt, M.J.",Pink sea fans (Eunicella verrucosa) as indicators of the spatial efficacy of Marine Protected Areas in southwest UK coastal waters,2016,Marine Policy,10.1016/j.marpol.2015.10.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947773322&doi=10.1016%2fj.marpol.2015.10.010&partnerID=40&md5=cf18a31bac2340a9e3c4c40614bce064,Scopus
"Gilchrist, A., Barker, A., Handley, J.F.",Pathways through the Landscape in a Changing Climate: The Role of Landscape Structure in Facilitating Species Range Expansion through an Urbanised Region,2016,Landscape Research,10.1080/01426397.2015.1045466,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84950261726&doi=10.1080%2f01426397.2015.1045466&partnerID=40&md5=402e901d82717f15558bdd3d611625c9,Scopus
"Johnson, M.P., Maggs, C.A., Allcock, A.L., Blight, A.J.",Landscape effects in the intertidal around the coastline of Great Britain,2016,Journal of Biogeography,10.1111/jbi.12607,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955172505&doi=10.1111%2fjbi.12607&partnerID=40&md5=748ecc489236ef59072ff8cf6a6cc8c8,Scopus
"Kobori, H., Dickinson, J.L., Washitani, I., Sakurai, R., Amano, T., Komatsu, N., Kitamura, W., Takagawa, S., Koyama, K., Ogawara, T., Miller-Rushing, A.J.","Citizen science: a new approach to advance ecology, education, and conservation",2016,Ecological Research,10.1007/s11284-015-1314-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947432395&doi=10.1007%2fs11284-015-1314-y&partnerID=40&md5=755beba5541da9ee56cdcb5fbc7bf9c0,Scopus
"Rutgers, M., Orgiazzi, A., Gardi, C., Römbke, J., Jänsch, S., Keith, A.M., Neilson, R., Boag, B., Schmidt, O., Murchie, A.K., Blackshaw, R.P., Pérès, G., Cluzeau, D., Guernion, M., Briones, M.J.I., Rodeiro, J., Piñeiro, R., Cosín, D.J., Sousa, J., Suhadolc, M., Kos, I., Krogh, P.-H., Faber, J.H., Mulder, C., Bogte, J.J., Wijnen, H.J., Schouten, A.J., Zwart, D.D.",Mapping earthworm communities in Europe,2016,Applied Soil Ecology,10.1016/j.apsoil.2015.08.015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949107267&doi=10.1016%2fj.apsoil.2015.08.015&partnerID=40&md5=5a9c2927855bc068544d81bfc53b12ed,Scopus
"Griffiths, R.A., Foster, J., Wilkinson, J.W., Sewell, D.","Science, statistics and surveys: A herpetological perspective",2015,Journal of Applied Ecology,10.1111/1365-2664.12463,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951059421&doi=10.1111%2f1365-2664.12463&partnerID=40&md5=fa34b39ccb365ad072f50cb6ed7d3698,Scopus
"Sullivan, M.J.P., Newson, S.E., Pearce-Higgins, J.W.",Using habitat-specific population trends to evaluate the consistency of the effect of species traits on bird population change,2015,Biological Conservation,10.1016/j.biocon.2015.10.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945360142&doi=10.1016%2fj.biocon.2015.10.009&partnerID=40&md5=856becff4109ae20a827089b12deaccb,Scopus
"Pennington, C., Freeborough, K., Dashwood, C., Dijkstra, T., Lawrie, K.","The National Landslide Database of Great Britain: Acquisition, communication and the role of social media",2015,Geomorphology,10.1016/j.geomorph.2015.03.013,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84943660412&doi=10.1016%2fj.geomorph.2015.03.013&partnerID=40&md5=e91ad73355d3182ef4636c5282c9b005,Scopus
"van der Wal, R., Anderson, H., Robinson, A., Sharma, N., Mellish, C., Roberts, S., Darvill, B., Siddharthan, A.",Mapping species distributions: A comparison of skilled naturalist and lay citizen science recording,2015,Ambio,10.1007/s13280-015-0709-x,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945307753&doi=10.1007%2fs13280-015-0709-x&partnerID=40&md5=f74414dfd83d8f447bc21757468707a3,Scopus
"Newson, S.E., Evans, H.E., Gillings, S.","A novel citizen science approach for large-scale standardised monitoring of bat activity and distribution, evaluated in eastern England",2015,Biological Conservation,10.1016/j.biocon.2015.06.009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84936753641&doi=10.1016%2fj.biocon.2015.06.009&partnerID=40&md5=926ea7154d23e63780d122adea0a75b3,Scopus
"Bell, G., Neal, S., Medcalf, K.",Use of remote sensing to produce a habitat map of Norfolk,2015,Ecological Informatics,10.1016/j.ecoinf.2015.06.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949113083&doi=10.1016%2fj.ecoinf.2015.06.003&partnerID=40&md5=a9793e1e0d0b1c056deb88e9c5734d48,Scopus
"Wilson, J.F., Baker, D., Cook, M., Davis, G., Freestone, R., Gardner, D., Grundy, D., Lowe, N., Orridge, S., Young, H.",Climate association with fluctuation in annual abundance of fifty widely distributed moths in England and Wales: a citizen-science study,2015,Journal of Insect Conservation,10.1007/s10841-015-9811-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946490442&doi=10.1007%2fs10841-015-9811-4&partnerID=40&md5=e5d13eb79fa937671d9db7a402563fb5,Scopus
"Eglington, S.M., Brereton, T.M., Tayleur, C.M., Noble, D., Risely, K., Roy, D.B., Pearce-Higgins, J.W.",Patterns and causes of covariation in bird and butterfly community structure,2015,Landscape Ecology,10.1007/s10980-015-0199-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940790492&doi=10.1007%2fs10980-015-0199-z&partnerID=40&md5=3c5d5a92e2bfbedef25716612b408c78,Scopus
"Mossman, H.L., Panter, C.J., Dolman, P.M.",Modelling biodiversity distribution in agricultural landscapes to support ecological network planning,2015,Landscape and Urban Planning,10.1016/j.landurbplan.2015.04.010,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929467500&doi=10.1016%2fj.landurbplan.2015.04.010&partnerID=40&md5=5768243dea6957cc80abed88bbc30d2e,Scopus
