author,title,year,articleURL,doi
"G Suaria, S Aliani, S Merlino, M Abbate",The Occurrence of Paraffin and Other Petroleum Waxes in the Marine Environment: A Review of the Current Legislative Framework and Shipping Operational …,2018,https://www.frontiersin.org/articles/10.3389/fmars.2018.00094,NA
"M Kageyama, P Braconnot, SP Harrison…",The PMIP4 contribution to CMIP6–Part 1: Overview and over-arching analysis plan,2018,http://search.proquest.com/openview/451ce9045f39a9c4ef2a9f151b7a716e/1?pq-origsite=gscholar&cbl=105726,NA
"C Mann, M Garcia-Martin, CM Raymond…",The potential for integrated landscape management to fulfil Europe's commitments to the Sustainable Development Goals,2018,https://www.sciencedirect.com/science/article/pii/S0169204618302639,NA
"M Postles, M Bartlett",The rise of BioBlitz: Evaluating a popular event format for public engagement and wildlife recording in the United Kingdom,2018,https://www.tandfonline.com/doi/abs/10.1080/1533015X.2018.1427010,NA
"N Shumway, JEM Watson, MI Saunders, M Maron",The Risks and Opportunities of Translating Terrestrial Biodiversity Offsets to the Marine Realm,2018,https://academic.oup.com/bioscience/advance-article/doi/10.1093/biosci/bix150/4797265,NA
"R Solymosi, K Bowers",The role of innovative data collection methods in advancing criminological understanding,2018,https://books.google.com/books?hl=en&lr=&id=93BGDwAAQBAJ&oi=fnd&pg=PA210&dq=%E2%80%9Ccitizen+science%E2%80%9D+species+%E2%80%9Cunited+kingdom%E2%80%9D+-disease+-book+-%22new+report%22+-%22new+species%22+-%22new+record%22&ots=ihJQDxRkZs&sig=ywQfONa4zZaMWtOwaAmIrRGCDng,NA
"SE Franks, JW Pearce‐Higgins, S Atkinson…",The sensitivity of breeding songbirds to changes in seasonal timing is linked to population change but cannot be directly attributed to the effects of trophic asynchrony …,2018,https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.13960,NA
"M Cuquet, A Fensel",The societal impact of big data: A research roadmap for Europe,2018,https://www.sciencedirect.com/science/article/pii/S0160791X17300131,NA
"AD Mazaris, C Gkazinou, V Almpanidou…",The sociology of sea turtle research: evidence on a global expansion of co-authorship networks,2018,https://link.springer.com/article/10.1007/s10531-018-1506-1,NA
"JC Hegg, J Middleton, BL Robertson, BP Kennedy",The sound of migration: exploring data sonification as a means of interpreting multivariate salmon movement datasets,2018,https://www.heliyon.com/article/e00532,NA
"M Bolgan, J O'Brien, E Chorazyczewska, IJ Winfield…",The soundscape of Arctic Charr spawning grounds in lotic and lentic environments: can passive acoustic monitoring be used to detect spawning activities?,2018,http://www.tandfonline.com/doi/abs/10.1080/09524622.2017.1286262,NA
R Bynoe,The submerged archaeology of the North Sea: Enhancing the Lower Palaeolithic record of northwest Europe,2018,https://www.sciencedirect.com/science/article/pii/S0277379117307916,NA
"S Shauli, A Baram-Tsabari",The usefulness of science knowledge for parents of hearing-impaired children,2018,http://journals.sagepub.com/doi/abs/10.1177/0963662518772503,NA
"AW Parsons, C Goforth, R Costello, R Kays",The value of citizen science for ecological monitoring of mammals,2018,https://peerj.com/articles/4536/?utm_source=TrendMD&utm_campaign=PeerJ_TrendMD_1&utm_medium=TrendMD,NA
"DM Hondula, ER Kuras, J Longo…",Toward precision governance: infusing data into public management of environmental hazards,2018,https://www.tandfonline.com/doi/abs/10.1080/14719037.2017.1320043,NA
"MB García, JL Silva, P Tejero, I Pardo…",Tracking the long-term dynamics of plant diversity in Northeast Spain with a network of volunteers and rangers,2018,https://link.springer.com/article/10.1007/s10113-018-1350-6,NA
FGH Balance,Trends,2018,https://gradientcorp.com/pdfs/newsletter/Trends72.pdf,NA
"G Pollard, J Ward, P Roetman",Typically Diverse: The Nature of Urban Agriculture in South Australia,2018,https://www.mdpi.com/2071-1050/10/4/945/html,NA
"JR Paris, KD Sherman, E Bell, C Boulenger…",Understanding and managing fish populations: keeping the toolbox fit for purpose,2018,https://onlinelibrary.wiley.com/doi/abs/10.1111/jfb.13549,NA
"M Melchiorri, AJ Florczyk, S Freire, M Schiavina…",Unveiling 25 Years of Planetary Urbanization with Remote Sensing: Perspectives from the Global Human Settlement Layer,2018,https://www.mdpi.com/2072-4292/10/5/768,NA
"M Moglia, SJ Cork, F Boschetti, S Cook…",Urban transformation stories for the 21st century: Insights from strategic conversations,2018,https://www.sciencedirect.com/science/article/pii/S0959378017309536,NA
"B Martay, JW Pearce-Higgins","Using data from schools to model variation in soil invertebrates across the UK: The importance of weather, climate, season and habitat",2018,https://www.sciencedirect.com/science/article/pii/S0031405617301865,NA
"PLM Lang, FM Willems, JF Scheepens…",Using herbaria to study global environmental change,2018,http://search.proquest.com/openview/0bbec0eae91376dc4a59dd375c295f0f/1?pq-origsite=gscholar&cbl=2045933,NA
"SV Stehman, CC Fonte, GM Foody, L See",Using volunteered geographic information (VGI) in design-based statistical inference for area estimation and accuracy assessment of land cover,2018,https://www.sciencedirect.com/science/article/pii/S0034425718301627,NA
HR Goerlitz,Weather conditions determine attenuation and speed of sound: Environmental limitations for monitoring and analyzing bat echolocation,2018,https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.4088,NA
"TDS Bloom, A Flower, EG DeChaine",Why georeferencing matters: Introducing a practical protocol to prepare species occurrence records for spatial analysis,2018,http://onlinelibrary.wiley.com/doi/10.1002/ece3.3516/full,NA
"F Leese, A Bouchez, K Abarenkov, F Altermatt…","Why we need sustainable networks bridging countries, disciplines, cultures and generations for aquatic biomonitoring 2.0: a perspective derived from the DNAqua-Net …",2018,https://www.sciencedirect.com/science/article/pii/S0065250418300011,NA
PC Chu,World Ocean Isopycnal Level Absolute Geostrophic Velocity (WOIL-V) Inverted from GDEM with the P-Vector Method,2018,http://www.mdpi.com/2306-5729/3/1/1,NA
"A Guetté, L Godet, M Juigner, M Robin",Worldwide increase in Artificial Light At Night around protected areas and within biodiversity hotspots,2018,https://www.sciencedirect.com/science/article/pii/S0006320717319043,NA
"DJ Morris, JK Pinnegar, DL Maxwell…",… 10 million seawater temperature records for the United Kingdom Continental Shelf between 1880 and 2014 from 17 Cefas (United Kingdom government) marine data …,2018,http://search.proquest.com/openview/13ec4f806a27442180dbebcb772aa9ff/1?pq-origsite=gscholar&cbl=105729,NA
"李春明, 张会",公众科学在欧美生态环境研究和管理中的应用,2018,http://www.ecologica.cn/stxb/ch/reader/create_pdf.aspx?file_no=stxb201712012161&year_id=2018&quater_id=6&falg=1,NA
"O Sushchov, P Homola, N Dhital, Ł Bratek…",Cosmic-Ray Extremely Distributed Observatory: a global cosmic ray detection framework,2017,https://arxiv.org/abs/1709.05230,NA
"A Novoa, K Dehnen-Schmutz, J Fried, G Vimercati",Does public awareness increase support for invasive species management? Promising evidence across taxa and landscape types,2017,https://link.springer.com/article/10.1007/s10530-017-1592-0,NA
"P Zheng, V Callaghan",How Chinese SMEs Innovate Using 'Diegetic Innovation Templating'–The stimulating role of Sci-Fi and fantasy,2017,https://www.sciencedirect.com/science/article/pii/S0016328717302914,NA
A Kalinowska,II. 4 Assessing public awareness about biodiversity in Europe,2017,https://books.google.com/books?hl=en&lr=&id=444-DwAAQBAJ&oi=fnd&pg=PT220&dq=%E2%80%9Ccitizen+science%E2%80%9D+species+%E2%80%9Cunited+kingdom%E2%80%9D+-disease+-book+-%22new+report%22+-%22new+species%22+-%22new+record%22&ots=n0Lvrc7jie&sig=jWIIff3CbdJpeUq1K9fqxuJbQts,NA
"AH Toomey, AT Knight, J Barlow",Navigating the space between research and implementation in conservation,2017,http://onlinelibrary.wiley.com/doi/10.1111/conl.12315/full,NA
"SC Faulkner, R Verity, D Roberts, SS Roy…",Using geographic profiling to compare the value of sightings vs trap data in a biological invasion,2017,http://onlinelibrary.wiley.com/doi/10.1111/ddi.12498/full,NA
A Tickle,11 Acid rain and critical,2017,https://books.google.com/books?hl=en&lr=&id=MGNQDwAAQBAJ&oi=fnd&pg=PA236&dq=%E2%80%9Ccitizen+science%E2%80%9D+species+%E2%80%9Cunited+kingdom%E2%80%9D+-disease+-book+-%22new+report%22+-%22new+species%22+-%22new+record%22&ots=3OJA_rBJhs&sig=iZnbdKvcrfOU8daBYsNY39zxgC8,NA
AC Colonese,23. Stable isotope ecology of terrestrial gastropod shells,2017,https://books.google.com/books?hl=en&lr=&id=Kv4sDwAAQBAJ&oi=fnd&pg=PA400&dq=%E2%80%9Cbiological+records%E2%80%9D+ireland+-book+-%22new+report%22+-%22new+species%22+-%22new+record%22&ots=iAzPbCMx3F&sig=Og6RqFVhalREND-UHht9kzFn8r0,NA
"F Wetzel, KD Belmonte, H Bingham…",4th European Biodiversity Observation Network (EU BON) Stakeholder Roundtable: Pathways to sustainability for EU BONs network of collaborators and …,2017,https://riojournal.com/article_preview.php?id=11875,NA
"J Bebbington, S Russell, I Thomson",Accounting and sustainable development: Reflections and propositions,2017,https://www.sciencedirect.com/science/article/pii/S104523541730062X,NA
АВ Ліщук,"A Checklist of Cheilosia Genus Hoverflies in the Podilsky Tovtry National Park, Ukraine",2017,http://elar.kpnu.edu.ua:8081/xmlui/handle/123456789/1435,NA
"M Balestrini, Y Rogers, C Hassan, J Creus…",A city in common: a framework to orchestrate large-scale citizen engagement around urban issues,2017,https://dl.acm.org/citation.cfm?id=3025915,NA
"LR Thompson, JG Sanders, D McDonald, A Amir…",A communal catalogue reveals Earth's multiscale microbial diversity,2017,https://www.nature.com/articles/nature24621,NA
"R Boostani, F Karimzadeh, M Nami",A comparative review on sleep stage classification methods in patients and healthy individuals,2017,https://www.sciencedirect.com/science/article/pii/S0169260716308276,NA
"AM Siepielski, JM Beaulieu",Adaptive evolution to novel predators facilitates the evolution of damselfly species range shifts,2017,http://onlinelibrary.wiley.com/doi/10.1111/evo.13188/full,NA
"EF Hall, KJ Rijs, R Stam, JFB Bolte, MJM Pruppers","Addendum to"" Electromagnetic Fields in the Irish Context"": Policy Options",2017,http://rivm.openrepository.com/rivm/handle/10029/620825,NA
"MJ Vander Zanden, GJA Hansen, AW Latzka",A Framework for Evaluating Heterogeneity and Landscape-Level Impacts of Non-native Aquatic Species,2017,https://link.springer.com/article/10.1007/s10021-016-0102-z,NA
G Kragh,"A holistic approach to environmental volunteering: connections between motivation, well-being and conservation achievement.",2017,http://eprints.bournemouth.ac.uk/29397/,NA
"FAE Lots, P Behrens, MG Vijver, AA Horton…",A large-scale investigation of microplastic contamination: Abundance and characteristics of microplastics in European beach sediment,2017,https://www.sciencedirect.com/science/article/pii/S0025326X17307312,NA
"NJ Pilcher, K Adulyanukosol, H Das, P Davis, E Hines…",A low-cost solution for documenting distribution and abundance of endangered marine fauna and impacts from fisheries,2017,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0190021,NA
DM Green,Amphibian breeding phenology trends under climate change: Predicting the past to forecast the future,2017,http://onlinelibrary.wiley.com/doi/10.1111/gcb.13390/full,NA
"M Moseley, C Proctor",An almost unknown subterranean habitat: British maritime terrestrial caves,2017,https://www.researchgate.net/profile/Max_Moseley/publication/313160567_An_almost_unknown_subterranean_habitat_British_maritime_terrestrial_caves/links/58918cdb92851cda256955db/An-almost-unknown-subterranean-habitat-British-maritime-terrestrial-caves.pdf,NA
"A Campanaro, S Hardersen…",Analyses of occurrence data of protected insect species collected by citizens in Italy,2017,https://natureconservation.pensoft.net/article_preview.php?id=12704,NA
H Ziegler de Ziegleck aùf Rheingrüb,"Analyses of road-Kills data harvested voluntarily: The case of the eurasian Badger (Meles Meles), the european Polecat (Mustela Putorius) and the Raccoon (Procyon …",2017,https://matheo.uliege.be/handle/2268.2/3110,NA
"G Foster, J Bennett, T Sparks",An assessment of bumblebee (Bombus spp) land use and floral preference in UK gardens and allotments cultivated for food,2017,https://link.springer.com/article/10.1007/s11252-016-0604-7,NA
"PFE Addison, DJ Collins, R Trebilco…","A new wave of marine evidence-based management: emerging challenges and solutions to transform monitoring, evaluating, and reporting",2017,https://academic.oup.com/icesjms/article-abstract/75/3/941/4739744,NA
"R Anderson, A Mantell, B Nelson",An invertebrate survey of Scragh Bog,2017,https://www.npws.ie/sites/default/files/publications/pdf/IWM96.pdf,NA
"I Bista, GR Carvalho, K Walsh, M Seymour…",Annual time-series analysis of aqueous eDNA reveals ecologically relevant dynamics of lake ecosystem biodiversity,2017,https://www.nature.com/articles/ncomms14087,NA
"SL Murfitt, BM Allan, A Bellgrove, A Rattray…",Applications of unmanned aerial vehicles in intertidal reef monitoring,2017,https://www.nature.com/articles/s41598-017-10818-9,NA
"S Mitra, CL Osburn, AS Wozniak",A Preliminary Assessment of Fossil Fuel and Terrigenous Influences to Rainwater Organic Matter in Summertime in the Northern Gulf of Mexico,2017,https://link.springer.com/article/10.1007/s10498-017-9319-5,NA
"A Glenny, S Grayson, KH Lee, T Lord",A Roadmap for Antarctic Science: Assessing the Effectiveness of the Antarctic Roadmap Challenges,2017,https://ir.canterbury.ac.nz/handle/10092/14298,NA
D Lewanzik,Artificial light affects bats across climatic zones and feeding guilds,2017,http://www.diss.fu-berlin.de/diss/receive/FUDISS_thesis_000000105844,NA
"CA Tredick, RL Lewison, DH Deutschman…",A Rubric to Evaluate Citizen-Science Programs for Long-Term Ecological Monitoring,2017,https://academic.oup.com/bioscience/article-abstract/67/9/834/4107634,NA
"SB Weber, N Weber, BJ Godley, T Pelembe…",Ascension Island as a mid-Atlantic developmental habitat for juvenile hawksbill turtles,2017,https://www.cambridge.org/core/journals/journal-of-the-marine-biological-association-of-the-united-kingdom/article/ascension-island-as-a-midatlantic-developmental-habitat-for-juvenile-hawksbill-turtles/4BFE1735E7505F73CECC2F37ABFE66AA,NA
J GIMÉNEZ,As fast as a hare: colonization of the heterobranch Aplysia dactylomela (Mollusca: Gastropoda: Anaspidea) into the western Mediterranean Sea,2017,https://scholar.harvard.edu/files/jmoles/files/cb58-3-341-345.pdf,NA
"CC Bellamy, APN van der Jagt, S Barbour…","A spatial framework for targeting urban planning for pollinators and people with local stakeholders: A route to healthy, blossoming communities?",2017,https://www.sciencedirect.com/science/article/pii/S0013935117311982,NA
K Whelan,"Assessing and Mitigating the Impact of a Major Rainbow Trout Escape on the Wild Salmon and Trout Populations of the Mourne River System, Northern Ireland …",2017,http://www.loughs-agency.org/wp-content/uploads/2018/04/Rainbow-Trout-Assessment-K-Whelan.compressed.pdf,NA
"AJ Kenny, C Jenkins, D Wood, SG Bolam…","Assessing cumulative human activities, pressures, and impacts on North Sea benthic habitats using a biological traits approach",2017,https://academic.oup.com/icesjms/article-abstract/75/3/1080/4616494,NA
"N Dumakude, M Graham",Assessing wetland health using a newly developed land cover citizen science tool for use by local people who are not wetland specialists,2017,https://www.ajol.info/index.php/sajee/article/view/163791,NA
"P Yiou, A Jézéquel, P Naveau, FEL Otto…",A statistical framework for conditional extreme event attribution,2017,http://search.proquest.com/openview/454dbb348d1e5ff0491995145c78ec63/1?pq-origsite=gscholar&cbl=2037689,NA
"S Croft, ALM Chauvenet, GC Smith",A systematic approach to estimate the distribution and total abundance of British mammals,2017,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0176339,NA
"HM Williams, M Willemoes, K Thorup","A temporally explicit species distribution model for a long distance avian migrant, the common cuckoo",2017,http://onlinelibrary.wiley.com/doi/10.1111/jav.01476/full,NA
"S King, JR O'Hanley, LR Newbold…",A toolkit for optimizing fish passage barrier mitigation actions,2017,http://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12706/full,NA
"SM Finnigan, AK Clear, G Farr-Wharton…",Augmenting Audits: Exploring the Role of Sensor Toolkits in Sustainable Buildings Management,2017,https://dl.acm.org/citation.cfm?id=3090075,NA
"K Vierikko, BHM Elands, P Gonçalves, AC Luz…","BCD: linkages between people and nature–database, typology and indicators",2017,http://library.wur.nl/WebQuery/wurpubs/fulltext/424978,NA
"A Catarina, ESCR Andersson, DU Haase…","BCD: LINKAGES BETWEEN PEOPLE AND NATURE–DATABASE, TYPOLOGY AND INDICATORS",2017,http://greensurge.eu/products/biocultura-diversity/MS22_BCD.pdf,NA
"AT Williams, P Randerson, C Allen, JAG Cooper",Beach litter sourcing: A trawl along the Northern Ireland coastline,2017,https://www.sciencedirect.com/science/article/pii/S0025326X17304757,NA
"L Scotson, LR Johnston, F Iannarilli…",Best practices and software for the management and sharing of camera trap data for small and large scales studies,2017,http://onlinelibrary.wiley.com/doi/10.1002/rse2.54/full,NA
"YN Golumbic, D Orr…",Between Vision and Reality: A Study of Scientists' Views on Citizen Science,2017,https://theoryandpractice.citizenscienceassociation.org/articles/10.5334/cstp.53/?toggle_hypothesis=on,NA
"C Andrew, E Heegaard, PM Kirk, C Bässler…",Big data integration: Pan-European fungal species observations' assembly for addressing contemporary questions in ecology and global change biology,2017,https://www.sciencedirect.com/science/article/pii/S1749461316300926,NA
M Boucher,Bioacoustics and Behavior of American Crocodiles in Belize,2017,http://search.proquest.com/openview/d8bb2f7e1bf8534b84dbd43837238917/1?pq-origsite=gscholar&cbl=18750&diss=y,NA
"J Lazebnik, M Dicke, CJF ter Braak…",Biodiversity analyses for risk assessment of genetically modified potato,2017,https://www.sciencedirect.com/science/article/pii/S0167880917303675,NA
"CA Lepczyk, MFJ Aronson, KL Evans, MA Goddard…",Biodiversity in the city: fundamental questions for understanding the ecology of urban green spaces for biodiversity conservation,2017,https://academic.oup.com/bioscience/article-abstract/67/9/799/4056044,NA
"MFJ Aronson, CA Lepczyk, KL Evans…",Biodiversity in the city: key challenges for urban green space management,2017,http://onlinelibrary.wiley.com/doi/10.1002/fee.1480/full,NA
"WM Eaton, M Burnham, CC Hinrichs, T Selfa",Bioenergy experts and their imagined “obligatory publics” in the United States: Implications for public engagement and participation,2017,https://www.sciencedirect.com/science/article/pii/S2214629616302997,NA
"JG Packer, LA Meyerson, H Skalova, P Pyšek…",Biological Flora of the British Isles: Phragmites australis,2017,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12797,NA
"RG Jefferson, KJ Walker",Biological Flora of the British Isles: Serratula tinctoria,2017,http://onlinelibrary.wiley.com/doi/10.1111/1365-2745.12824/full,NA
"R Stubbington, R Chadd, N Cid, Z Csabai…",Biomonitoring of intermittent rivers and ephemeral streams in Europe: Current practice and priorities to enhance ecological status assessments,2017,https://www.sciencedirect.com/science/article/pii/S0048969717324865,NA
"AE Goodenough, N Little, WS Carpenter, AG Hart",Birds of a feather flock together: Insights into starling murmuration behaviour revealed using citizen science,2017,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0179277,NA
"M Sankupellay, A Kalma, S Magin…",Birdsound: enticing urban dwellers to engage with local birds around their home,2017,https://dl.acm.org/citation.cfm?id=3152790,NA
"LV Weatherdon, W Appeltans…",Blueprints of effective biodiversity and conservation knowledge products that support marine policy,2017,https://www.frontiersin.org/articles/10.3389/fmars.2017.00096,NA
"CE Jones, A Liapis, I Lykourentzou…",Board Game Prototyping to Co-Design a Better Location-Based Digital Game,2017,https://dl.acm.org/citation.cfm?id=3053348,NA
"M Thornton, I Todd, S Roos",Breeding success and productivity of urban and rural Eurasian sparrowhawks Accipiter nisus in Scotland,2017,http://www.tandfonline.com/doi/abs/10.1080/11956860.2017.1374322,NA
"C Bassett, A De Robertis, CD Wilson…",Broadband echosounder measurements of the frequency response of fishes and euphausiids in the Gulf of Alaska,2017,https://academic.oup.com/icesjms/article-abstract/75/3/1131/4626990,NA
"DS Schmeller, M Böhm, C Arvanitidis…",Building capacity in biodiversity monitoring at the global scale,2017,https://link.springer.com/article/10.1007/s10531-017-1388-7,NA
"M Smit, R Kelly, S Fitzsimmons, S Bruce, C Bulger…",Canadian Integrated Ocean Observing System: Cyberinfrastructure Investigative Evaluation,2017,https://dalspace.library.dal.ca/bitstream/handle/10222/73935/CIOOS%20IE%20CI%20Final%20Report.pdf?sequence=1,NA
"KJ Wyles, S Pahl, M Holland…",Can beach cleans do more than clean-up litter? Comparing beach cleans to other coastal activities,2017,http://journals.sagepub.com/doi/abs/10.1177/0013916516649412,NA
TE Soley,"Can Big Whales Inspire Big Behaviors? A Study of Environmental Communication, and Nature Immersion",2017,http://search.proquest.com/openview/b59d0b38eee35da7ec55d7ad867b21c5/1?pq-origsite=gscholar&cbl=18750&diss=y,NA
"TH Sparks, S Atkinson, K Lewthwaite…",Can bird abundance declines be detected by citizen science programmes? A case study using Common Cuckoo Cuculus canorus,2017,http://www.ingentaconnect.com/content/stl/abr/2017/00000010/00000004/art00005,NA
"A Thomaes, P Verschelde, D Mader…",Can we successfully monitor a population density decline of elusive invertebrates? A statistical power analysis on Lucanus cervus,2017,https://natureconservation.pensoft.net/article_preview.php?id=11761,NA
"M Kneafsey, L Owen, E Bos, K Broughton…",Capacity building for food justice in England: the contribution of charity-led community food initiatives,2017,http://www.tandfonline.com/doi/abs/10.1080/13549839.2016.1245717,NA
"S Grinell, C Rabin",Caring Enough to Teach Science,2017,https://link.springer.com/article/10.1007/s11191-017-9940-0,NA
"RJ Mitchell, A Broome, JK Beaton, PE Bellamy…",Challenges in assessing the ecological impacts of tree diseases and mitigation measures: the case of Hymenoscyphus fraxineus and Fraxinus excelsior,2017,https://www.researchgate.net/profile/Ruth_Mitchell2/publication/316103385_Challenges_in_assessing_the_ecological_impacts_of_tree_diseases_and_mitigation_measures_The_case_of_Hymenoscyphus_fraxineus_and_Fraxinus_excelsior/links/59f2e61aaca272cdc7d032e9/Challenges-in-assessing-the-ecological-impacts-of-tree-diseases-and-mitigation-measures-The-case-of-Hymenoscyphus-fraxineus-and-Fraxinus-excelsior.pdf,NA
"SM Smart, PA Henrys, LR Norton, H Wallace…",Changes in the frequency of common plant species across linear features in Wales from 1990 to 2016: implications for potential delivery of ecosystem services,2017,http://www.tandfonline.com/doi/abs/10.1080/20423489.2017.1408190,NA
"M Leach, J Fairhead",Changing Perspectives on Forests: Science/Policy Processes in Wider Society,2017,http://bulletin.ids.ac.uk/idsbo/article/view/2836/ONLINE%20ARTICLE,NA
"QJ Groom, SJ Whild",Characterisation of false-positive observations in botanical surveys,2017,https://peerj.com/articles/3324,NA
"DE Duursma, RV Gallagher, SC Griffith",Characterizing opportunistic breeding at a continental scale using all available sources of phenological data: An assessment of 337 species across the Australian …,2017,http://www.bioone.org/doi/abs/10.1642/AUK-16-243.1,NA
EH Forsén,CITAPPLAB: A toolkit for rapid creation of data intensive mobile applications,2017,https://www.duo.uio.no/handle/10852/58918,NA
"L Fanovich, ND Cook, RS Mohammed…","Citizen-based Observations on Shark and Mobulid Species in Tobago, West Indies",2017,http://ttfnc.org/livingworld/index.php/lwj/article/view/587,NA
"AC Cardoso, K Tsiamis, E Gervasini…",Citizen Science and Open Data: a model for Invasive Alien Species in Europe,2017,https://riojournal.com/article_preview.php?id=14811,NA
"B Pandeya, M Uprety, JD Paul, S Dugar…",Citizen Science into Action-Robust Data with Affordable Technologies for Flood Risks Management in the Himalayas,2017,http://adsabs.harvard.edu/abs/2017AGUFMPA23E..04P,NA
"JA Hudgins, EJ Hudgins, K Ali, A Mancini",Citizen science surveys elucidate key foraging and nesting habitat for two endangered marine turtle species within the Republic of Maldives,2017,https://www.biotaxa.org/hn/article/view/26126,NA
"AJ Barr, AC Haas, CW Kalderon",Citizen Scientist Community Engagement with the HiggsHunters project at the Large Hadron Collider,2017,https://arxiv.org/abs/1711.05148,NA
EJ Kistner,Climate Change Impacts on the Potential Distribution and Abundance of the Brown Marmorated Stink Bug (Hemiptera: Pentatomidae) With Special Reference to North …,2017,https://academic.oup.com/ee/article-abstract/46/6/1212/4561662,NA
A Labaeye,Collaboratively mapping alternative economies. Co-producing transformative knowledge,2017,https://journals.openedition.org/netcom/2647,NA
"M del Mar Delgado-Serrano, J Mistry, B Matzdorf…",Community-based management of environmental challenges in Latin America and the Caribbean,2017,http://www.jstor.org/stable/26270043,NA
"NC Everall, MF Johnson, P Wood, A Farmer…",Comparability of macroinvertebrate biomonitoring indices of river health derived from semi-quantitative and quantitative methodologies,2017,https://www.sciencedirect.com/science/article/pii/S1470160X17301589,NA
DL Siemonsma,Comparison of Land Use and Land Cover in Public Lands of the Northwestern Great Plains and High Plains Ecoregions and the Implications for Grassland …,2017,http://search.proquest.com/openview/bdd58407d88cc73f407975fe9f70946e/1?pq-origsite=gscholar&cbl=18750&diss=y,NA
"SP Boyle, JD Litzgus, D Lesbarrères",Comparison of road surveys and circuit theory to predict hotspot locations for implementing road-effect mitigation,2017,https://link.springer.com/article/10.1007/s10531-017-1414-9,NA
"NJ Bennett, R Roth, SC Klain, K Chan, P Christie…",Conservation social science: Understanding and integrating human dimensions to improve conservation,2017,https://www.sciencedirect.com/science/article/pii/S0006320716305328,NA
AD Crosby,Conserving Avian Biodiversity on Managed Forest Landscapes: The Importance of Pattern and Scale,2017,http://search.proquest.com/openview/66e6a3d8bd6df22a71e6c8b3a1e60405/1?pq-origsite=gscholar&cbl=18750&diss=y,NA
"HK Chou, BF Ochoa-Tocachi…",Constraining the JULES land-surface model for different land-use types using citizen-science generated hydrological data,2017,http://adsabs.harvard.edu/abs/2017AGUFM.H53I1595C,NA
"PM Antunes, B Schamp",Constructing Standard Invasion Curves from Herbarium Data—Toward Increased Predictability of Plant Invasions,2017,http://www.bioone.org/doi/abs/10.1017/inp.2017.38,NA
"PJ Bouchet, JJ Meeuwig, Z Huang…",Continental‐scale hotspots of pelagic fish abundance inferred from commercial catch records,2017,http://onlinelibrary.wiley.com/doi/10.1111/geb.12619/full,NA
"A Chin, CA Simpfendorfer, WT White, GJ Johnson…",Crossing lines: a multidisciplinary framework for assessing connectivity of hammerhead sharks across jurisdictional boundaries,2017,https://www.nature.com/articles/srep46061,NA
"DE Bowler, C Hof, P Haase, I Kröncke…",Cross-realm assessment of climate change impacts on species' abundance trends,2017,https://www.nature.com/articles/s41559-016-0067,NA
"F Meier, D Fenner, T Grassmann, M Otto, D Scherer",Crowdsourcing air temperature from citizen weather stations for urban climate research,2017,https://www.sciencedirect.com/science/article/pii/S2212095517300068,NA
"N Geri, R Gafni, P Bengov",Crowdsourcing as a business model: Extrinsic motivations for knowledge sharing in user-generated content websites,2017,http://www.emeraldinsight.com/doi/abs/10.1108/JGOSS-05-2016-0018,NA
"R Solymosi, KJ Bowers…",Crowdsourcing Subjective Perceptions of Neighbourhood Disorder: Interpreting Bias in Open Data,2017,https://academic.oup.com/bjc/article/doi/10.1093/bjc/azx048/4107534/Crowdsourcing-Subjective-Perceptions-of,NA
"J Delia, ME Krasny","Cultivating Positive Youth Development, Critical Consciousness, and Authentic Care in Urban Environmental Education",2017,https://www.frontiersin.org/articles/10.3389/fpsyg.2017.02340/abstract,NA
P Wellman,Cunninghamia,2017,https://www.bluemountainsbotanicgarden.com.au/RoyalBotanicGarden/media/RBG/Science/Cunninghamia/Volume%2017%20-%202017/Cunninghamia-17-WELLMAN-Myxomycetes-001.pdf,NA
"SF Kao, YF Chen",Current problems and the civil society's advocacy,2017,https://books.google.com/books?hl=en&lr=&id=XCBBDwAAQBAJ&oi=fnd&pg=PT157&dq=%E2%80%9Ccitizen+science%E2%80%9D+species+%E2%80%9Cunited+kingdom%E2%80%9D+-disease+-book+-%22new+report%22+-%22new+species%22+-%22new+record%22&ots=uYu0YXkH_y&sig=uO-uA7La2xovz1i7rR4y9y-o6UY,NA
"M Winters, M Branion-Calles","Cycling safety: quantifying the under reporting of cycling incidents in Vancouver, British Columbia",2017,https://www.sciencedirect.com/science/article/pii/S2214140516303851,NA
T Koltay,Data literacy for researchers and data librarians,2017,http://journals.sagepub.com/doi/abs/10.1177/0961000615616450,NA
"LA Roman, BC Scharenbroch, JPA Östberg…",Data quality in citizen science urban tree inventories,2017,https://www.sciencedirect.com/science/article/pii/S1618866716302680,NA
"C de Vos, MI Cherry",Declining ranges of southern African breeding cuckoos do not reflect host species' range changes,2017,http://www.tandfonline.com/doi/abs/10.1080/01584197.2017.1292403,NA
