Google Scholar search results through Publish or Perish,,,,,,,,,,,,,,,,,,,,,,
"Publish or Perish search terms: all of the words: “biological records” Ireland; none of the words: book ""new report"" ""new species"" ""new record""; years: 2014 to 2018",,,,,,,,,,,,,,,,,,,,,,
8 June 2018,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age
1,TH Blackstock,Recent increase in records of Metzgeria violacea (Ach.) Dumort. sporophytes in Britain and Ireland,2016,Journal of Bryology,Taylor & Francis,http://www.tandfonline.com/doi/full/10.1080/03736687.2016.1168981,"https://scholar.google.com/scholar?cites=16777958656836751778&as_sdt=2005&sciodt=0,5&hl=en&num=20",17,2018-06-08,,,,,,,,,1,0.5,1,1,2
5,"KJ Walker, OL Pescott, F Harris, C Cheffings…",Making plants count,2015,British …,researchgate.net,https://www.researchgate.net/profile/Oliver_Pescott/publication/282179925_Making_plants_count/links/57f4bafc08ae91deaa5c1b01/Making-plants-count.pdf,"https://scholar.google.com/scholar?cites=691959101566694728&as_sdt=2005&sciodt=0,5&hl=en&num=20",18,2018-06-08,PDF,,,,,,,,5,1.67,1,5,3
1,"GD Powney, SSA Cham, D Smallshire…",Trait correlates of distribution trends in the Odonata of Britain and Ireland: Southern species benefit from climate warming,2014,PeerJ …,search.proquest.com,http://search.proquest.com/openview/bdb33bf852730d130047293ab602747c/1?pq-origsite=gscholar&cbl=2045933,"https://scholar.google.com/scholar?cites=14075584400354380019&as_sdt=2005&sciodt=0,5&hl=en&num=20",19,2018-06-08,HTML,,,,,,,,1,0.25,0,4,4
1,"R Boland, T Bolger",What can Ireland's soil macroinvertebrate fauna tell us about postglacial colonisation?,2014,Irish Naturalists' Journal,JSTOR,http://www.jstor.org/stable/24394328,"https://scholar.google.com/scholar?cites=12079136031376720307&as_sdt=2005&sciodt=0,5&hl=en&num=20",20,2018-06-08,PDF,,,,,,,,1,0.25,1,2,4
7,"BC Beckmann, BV Purse, DB Roy, HE Roy, PG Sutton…",Two species with an unusual combination of traits dominate responses of British grasshoppers and crickets to environmental change,2015,PloS one,journals.plos.org,http://journals.plos.org/plosone/article?id=10.1371/journal.pone.0130488,"https://scholar.google.com/scholar?cites=13156324270638566340&as_sdt=2005&sciodt=0,5&hl=en&num=20",21,2018-06-08,HTML,,,,,,,,7,2.33,1,6,3
21,"RF Comont, HE Roy, R Harrington, CR Shortall…",Ecological correlates of local extinction and colonisation in the British ladybird beetles (Coleoptera: Coccinellidae),2014,Biological …,Springer,https://link.springer.com/article/10.1007/s10530-013-0628-3,"https://scholar.google.com/scholar?cites=6137258726138089193&as_sdt=2005&sciodt=0,5&hl=en&num=20",22,2018-06-08,HTML,,,,,,,,21,5.25,4,5,4
0,FI Scistarter,Name of Provider Name of Project,,researchgate.net,,https://www.researchgate.net/profile/Eren_Turak/publication/309765151_List_of_Providers_and_Projects_to_GBIF/data/58225dd708aeebc4f8916e25/List-of-Providers-and-Projects-to-GBIF.pdf,,23,2018-06-08,PDF,,,,,,,,0,0,0,1,
0,B Nelson,"Insect and spider records from Islay in 2011 (Arachnida, Coleoptera, Hemiptera and Hymenoptera)",2014,Glasgow Naturalist,glasgownaturalhistory.org.uk,http://www.glasgownaturalhistory.org.uk/gn26_1/islay_invertebrates.pdf,,24,2018-06-08,PDF,,,,,,,,0,0,0,1,4
0,"H Ojaveer, S Olenin, D Minchin",Proposal for IMO Ballast Water Management Convention A-4 Target Species selection criteria,2015,,eprints.uni-kiel.de,http://eprints.uni-kiel.de/30642/1/Presentation%201_Proposal%20for%20IMO%20BWMC%20A-4%20TSselection%20criteria.pdf,,25,2018-06-08,PDF,,,,,,,,0,0,0,3,3
0,P Richards,"NEW COUNTY RECORDS AND SOME HABITAT OBSERVATIONS FOR TRICHONISCOIDES SPECIES (ISOPODA, ONISCIDEA: TRICHONISCIDAE) FROM …",2016,Field meeting reports,bmig.org.uk,http://www.bmig.org.uk/sites/www.bmig.org.uk/files/bulletin/BullBMIG29-2016.pdf#page=39,,26,2018-06-08,PDF,,,,,,,,0,0,0,1,2
0,"RF Comont, K Ashbrook",Evaluating promotional approaches for citizen science biological recording: bumblebees as a group versus Harmonia axyridis as a flagship for ladybirds,2017,BioControl,Springer,https://link.springer.com/article/10.1007/s10526-016-9771-y,,27,2018-06-08,HTML,,,,,,,,0,0,0,2,1
0,DL Hawksworth,Part I: Liehen Mapping Projects in Europe,,zobodat.at,,http://www.zobodat.at/pdf/Stuttgarter-Beitraege-Naturkunde_456_A_0005-0010.pdf,,28,2018-06-08,PDF,,,,,,,,0,0,0,1,
0,"MF Geiser, F Fanti","On the nomenclature of Cantharis nigra (De Geer, 1774) and C. thoracica (AG Olivier, 1790)(Cantharidae) as used in Britain and Ireland",,researchgate.net,,https://www.researchgate.net/profile/Fabrizio_Fanti/publication/289965648_On_the_nomenclature_of_Cantharis_nigra_De_Geer_1774_and_C_thoracica_AG_Olivier_1790_Cantharidae_as_used_in_Britain_and_Ireland/links/56cc983308ae85c8233ba049.pdf,,29,2018-06-08,PDF,,,,,,,,0,0,0,2,
0,B Yearbook,TONY [AJE] SMITH,,Citeseer,,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.664.7899&rep=rep1&type=pdf,,30,2018-06-08,PDF,,,,,,,,0,0,0,1,
0,SA HAEMORRHOIDALE,THE HISTORY AND STATUS OF THE HAWTHORN,,researchgate.net,,https://www.researchgate.net/profile/Alex_Ramsay/publication/291340666_THE_HISTORY_AND_STATUS_OF_THE_HAWTHORN_SHIELDBUG_ACANTHOSOMA_HAEMORRHOIDALE_HEMIPTERA_ACANTHOSOMATIDAE_IN_SCOTLAND_1946-2008/links/56a0d9c208ae4af5254d028f/THE-HISTORY-AND-STATUS-OF-THE-HAWTHORN-SHIELDBUG-ACANTHOSOMA-HAEMORRHOIDALE-HEMIPTERA-ACANTHOSOMATIDAE-IN-SCOTLAND-1946-2008.pdf,,31,2018-06-08,PDF,,,,,,,,0,0,0,1,
0,H Roy,STRUCTURED INDICATOR REVIEWS,2016,Review of UK biodiversity indicators that provide status …,nora.nerc.ac.uk,http://nora.nerc.ac.uk/id/eprint/515118/1/N515118CR.pdf#page=5,,32,2018-06-08,PDF,,,,,,,,0,0,0,1,2
0,"DF McAlpine, AD Fairweather","Occurrence of the terrestrial isopod, Haplophthalmus mengii (Zaddach, 1844) (Oniscidea, Trichoniscidae), in North America",2016,Crustaceana,booksandjournals.brillonline.com,http://booksandjournals.brillonline.com/content/journals/10.1163/15685403-00003505,,33,2018-06-08,CITATION,,,,,,,,0,0,0,2,2
0,K Whelan,"Assessing and Mitigating the Impact of a Major Rainbow Trout Escape on the Wild Salmon and Trout Populations of the Mourne River System, Northern Ireland …",2017,,loughs-agency.org,http://www.loughs-agency.org/wp-content/uploads/2018/04/Rainbow-Trout-Assessment-K-Whelan.compressed.pdf,,34,2018-06-08,PDF,,,,,,,,0,0,0,1,1
1,"JF Wilson, D Baker, J Cheney, M Cook, M Ellis…",A role for artificial night-time lighting in long-term changes in populations of 100 widespread macro-moths in UK and Ireland: a citizen-science study,2018,Journal of Insect …,Springer,https://link.springer.com/content/pdf/10.1007/s10841-018-0052-1.pdf,"https://scholar.google.com/scholar?cites=2818294218599453336&as_sdt=2005&sciodt=0,5&hl=en&num=20",35,2018-06-08,PDF,,,,,,,,1,1,0,6,1
2,"TE Turner, GT Swindles, DJ Charman, PG Langdon…",Solar cycles or random processes? Evaluating solar variability in Holocene climate records,2016,Scientific reports,nature.com,https://www.nature.com/articles/srep23961,"https://scholar.google.com/scholar?cites=7133488544838665395&as_sdt=2005&sciodt=0,5&hl=en&num=20",36,2018-06-08,HTML,,,,,,,,2,1,0,5,2
0,"RG Jefferson, KJ Walker",Biological Flora of the British Isles: Serratula tinctoria,2017,Journal of Ecology,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/1365-2745.12824/full,,37,2018-06-08,,,,,,,,,0,0,0,2,1
1,"LRFD Knight, A Brancelj, B Hänfling…",The groundwater invertebrate fauna of the Channel Islands,2015,Subterranean …,subtbiol.pensoft.net,https://subtbiol.pensoft.net/article_preview.php?id=4792,"https://scholar.google.com/scholar?cites=12297156970103940213&as_sdt=2005&sciodt=0,5&hl=en&num=20",38,2018-06-08,HTML,,,,,,,,1,0.33,0,4,3
2,"M Millane, J Caffrey",Risk Assessment of Egeria densa,2014,,nonnativespecies.ie,http://nonnativespecies.ie/wp-content/uploads/2014/03/Egeria-densa-Large-flowered-Waterweed1.pdf,"https://scholar.google.com/scholar?cites=16499616405973327698&as_sdt=2005&sciodt=0,5&hl=en&num=20",39,2018-06-08,PDF,,,,,,,,2,0.5,1,2,4
27,"MJO Pocock, SE Newson, IG Henderson…",Developing and enhancing biodiversity monitoring programmes: a collaborative assessment of priorities,2015,Journal of Applied …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12423/full,"https://scholar.google.com/scholar?cites=14504162019574489094&as_sdt=2005&sciodt=0,5&hl=en&num=20",40,2018-06-08,HTML,,,,,,,,27,9,7,4,3
8,"TH Oliver, RJ Smithers, CM Beale, K Watts",Are existing biodiversity conservation strategies appropriate in a changing climate?,2016,Biological Conservation,Elsevier,https://www.sciencedirect.com/science/article/pii/S0006320715301488,"https://scholar.google.com/scholar?cites=4641481262311535569&as_sdt=2005&sciodt=0,5&hl=en&num=20",41,2018-06-08,HTML,,,,,,,,8,4,2,4,2
13,"MO Hill, CD Preston",Disappearance of boreal plants in southern Britain: habitat loss or climate change?,2015,Biological Journal of the Linnean Society,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/115/3/598/2440171,"https://scholar.google.com/scholar?cites=4712090638787964684&as_sdt=2005&sciodt=0,5&hl=en&num=20",42,2018-06-08,,,,,,,,,13,4.33,7,2,3
0,S Shuttleworth,Life in the Zooniverse: Working with Citizen Science,2017,,ora.ox.ac.uk,https://ora.ox.ac.uk/objects/uuid:82274fe1-aa18-4865-b88f-537700fe1d38,,43,2018-06-08,,,,,,,,,0,0,0,1,1
1,"M Moseley, C Proctor",An almost unknown subterranean habitat: British maritime terrestrial caves,2017,Cave and Karst Science,researchgate.net,https://www.researchgate.net/profile/Max_Moseley/publication/313160567_An_almost_unknown_subterranean_habitat_British_maritime_terrestrial_caves/links/58918cdb92851cda256955db/An-almost-unknown-subterranean-habitat-British-maritime-terrestrial-caves.pdf,"https://scholar.google.com/scholar?cites=16732605819138111055&as_sdt=2005&sciodt=0,5&hl=en&num=20",44,2018-06-08,PDF,,,,,,,,1,1,1,2,1
0,JM Glime,"Volume 2, Chapter 12-8: Terrestrial Insects: Holometabola-Megaloptera & Neuroptera",2016,,digitalcommons.mtu.edu,http://digitalcommons.mtu.edu/cgi/viewcontent.cgi?article=1157&context=bryo-ecol-subchapters,,45,2018-06-08,PDF,,,,,,,,0,0,0,1,2
1,O Pescott,Revised lists of nationally rare and scarce bryophytes for Britain,2016,Field Bryology,rbg-web2.rbge.org.uk,http://rbg-web2.rbge.org.uk/bbs/activities/field%20bryology/FB115/FB115_Oli_RareList.pdf,"https://scholar.google.com/scholar?cites=11172444441062263454&as_sdt=2005&sciodt=0,5&hl=en&num=20",46,2018-06-08,PDF,,,,,,,,1,0.5,1,1,2
56,"F Essl, K Biró, D Brandes, O Broennimann…",Biological flora of the British Isles: Ambrosia artemisiifolia,2015,Journal of …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/1365-2745.12424/full,"https://scholar.google.com/scholar?cites=104915967077455231&as_sdt=2005&sciodt=0,5&hl=en&num=20",47,2018-06-08,HTML,,,,,,,,56,18.67,11,5,3
14,C Hassall,Odonata as candidate macroecological barometers for global climate change,2015,Freshwater Science,journals.uchicago.edu,http://www.journals.uchicago.edu/doi/abs/10.1086/682210,"https://scholar.google.com/scholar?cites=13006528770392694911&as_sdt=2005&sciodt=0,5&hl=en&num=20",48,2018-06-08,,,,,,,,,14,4.67,14,1,3
1,"B Cull, ME Pietzsch, KM Hansford…","Surveillance of British ticks: An overview of species records, host associations, and new records of Ixodes ricinus distribution",2018,Ticks and tick-borne …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1877959X17305137,"https://scholar.google.com/scholar?cites=11186783185871380102&as_sdt=2005&sciodt=0,5&hl=en&num=20",49,2018-06-08,HTML,,,,,,,,1,1,0,4,1
0,L KNIGHT,"PEN PARK HOLE INVERTEBRATE SURVEY, 2013",2013,penparkhole.org.uk,,http://www.penparkhole.org.uk/resources/Pen_Park_Hole_Biological_Report_2013.pdf,,50,2018-06-08,PDF,,,,,,,,0,0,0,1,5
2,"G Rapacciuolo, JE Ball-Damerow, AR Zeilinger…",Detecting long-term occupancy changes in Californian odonates from natural history and citizen science records,2017,Biodiversity and …,Springer,https://link.springer.com/article/10.1007/s10531-017-1399-4,"https://scholar.google.com/scholar?cites=12591053994362474991&as_sdt=2005&sciodt=0,5&hl=en&num=20",51,2018-06-08,HTML,,,,,,,,2,2,1,4,1
1,"JW Redhead, R Fox, T Brereton, TH Oliver","Assessing species' habitat associations from occurrence records, standardised monitoring data and expert opinion: a test with British butterflies",2016,Ecological indicators,Elsevier,https://www.sciencedirect.com/science/article/pii/S1470160X15006354,"https://scholar.google.com/scholar?cites=4653258562174149768&as_sdt=2005&sciodt=0,5&hl=en&num=20",52,2018-06-08,HTML,,,,,,,,1,0.5,0,4,2
50,"SC Mason, G Palmer, R Fox, S Gillings…",Geographical range margins of many taxonomic groups continue to shift polewards,2015,Biological Journal of …,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/115/3/586/2440522,"https://scholar.google.com/scholar?cites=8510145869938144992&as_sdt=2005&sciodt=0,5&hl=en&num=20",53,2018-06-08,,,,,,,,,50,16.67,10,5,3
18,"GD Powney, G Rapacciuolo, CD Preston…",A phylogenetically-informed trait-based analysis of range change in the vascular plant flora of Britain,2014,Biodiversity and …,Springer,https://link.springer.com/article/10.1007/s10531-013-0590-5,"https://scholar.google.com/scholar?cites=5167053010083828241&as_sdt=2005&sciodt=0,5&hl=en&num=20",54,2018-06-08,HTML,,,,,,,,18,4.5,5,4,4
0,"SC Mason, JK Hill, CD Thomas…",Population variability in species can be deduced from opportunistic citizen science records: a case study using British butterflies,2018,Insect Conservation …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/icad.12242,,55,2018-06-08,,,,,,,,,0,0,0,4,1
30,"R Shucksmith, L Gray, C Kelly, JF Tweddle",Regional marine spatial planning–The data collection and mapping process,2014,Marine Policy,Elsevier,https://www.sciencedirect.com/science/article/pii/S0308597X14001420,"https://scholar.google.com/scholar?cites=10699214395381583772&as_sdt=2005&sciodt=0,5&hl=en&num=20",56,2018-06-08,HTML,,,,,,,,30,7.5,8,4,4
0,"R Rozwałka, Ł Dawidowicz, W Wawer",Three alien spider species (Araneae: Theridiidae) newly found in Poland,2017,Fragmenta Faunistica,rcin.org.pl,http://rcin.org.pl/dlibra/docmetadata?id=63588,,57,2018-06-08,,,,,,,,,0,0,0,3,1
31,"T Amano, RP Freckleton…",Links between plant species' spatial and temporal responses to a warming climate,2014,… of the Royal …,rspb.royalsocietypublishing.org,http://rspb.royalsocietypublishing.org/content/281/1779/20133017.short,"https://scholar.google.com/scholar?cites=9807837880688430416&as_sdt=2005&sciodt=0,5&hl=en&num=20",58,2018-06-08,HTML,,,,,,,,31,7.75,10,3,4
5,"B Samraoui, AH Alfarhan","Odonata in streams on Mount Edough, Algeria, and in Kroumiria, Tunisia",2015,African Entomology,BioOne,http://www.bioone.org/doi/abs/10.4001/003.023.0129,"https://scholar.google.com/scholar?cites=9364766602340260047&as_sdt=2005&sciodt=0,5&hl=en&num=20",59,2018-06-08,,,,,,,,,5,1.67,3,2,3
0,"B Buyanjargal, TZ Dorzhiev…","FLIGHT PHENOLOGY OF VESPID WASPS (HYMENOPTERA, VESPIDAE) IN NORTHERN MONGOLIA",2018,Proceedings of the …,mongoliajol.info,https://www.mongoliajol.info/index.php/PMAS/article/view/921,,60,2018-06-08,,,,,,,,,0,0,0,3,1
0,C Nancy's Lane,Ecological Impact Assessment,2018,,kildare.ie,http://kildare.ie/CountyCouncil/PublicConsultations-Part8Schemes/Housing/P8201803NancysLaneBallinagappaRoadClane/9.%20Ecological%20Impact%20Assessment.pdf,,61,2018-06-08,PDF,,,,,,,,0,0,0,1,1
8,"N Silva-Sánchez, JE Schofield, TM Mighall…","Climate changes, lead pollution and soil erosion in south Greenland over the past 700 years",2015,Quaternary …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0033589415000599,"https://scholar.google.com/scholar?cites=4951732928022864487&as_sdt=2005&sciodt=0,5&hl=en&num=20",62,2018-06-08,,,,,,,,,8,2.67,2,4,3
1,M MOSELEY,"Subterranean biology of Morecambe Bay and the Isle of Man, British Isles",2016,Cave and Karst Science,researchgate.net,https://www.researchgate.net/profile/Max_Moseley/publication/309490197_Subterranean_biology_of_Morecambe_Bay_and_the_Isle_of_Man_British_Isles/links/58843b48a6fdcc6b79108917.pdf,"https://scholar.google.com/scholar?cites=7438616658629299100&as_sdt=2005&sciodt=0,5&hl=en&num=20",63,2018-06-08,PDF,,,,,,,,1,0.5,1,1,2
19,"BV Purse, R Comont, A Butler, PMJ Brown…",Landscape and climate determine patterns of spread for all colour morphs of the alien ladybird Harmonia axyridis,2015,Journal of …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/jbi.12423/full,"https://scholar.google.com/scholar?cites=13621834990329224376&as_sdt=2005&sciodt=0,5&hl=en&num=20",64,2018-06-08,,,,,,,,,19,6.33,4,5,3
0,"MS Silvia, EF Connor",Differences in meristems between monocots and dicots and susceptibility to attack by gall-inducing insects,2017,Arthropod-Plant Interactions,Springer,https://link.springer.com/article/10.1007/s11829-017-9502-z,,65,2018-06-08,HTML,,,,,,,,0,0,0,2,1
19,"J Kamp, S Oppel, H Heldbjerg…",Unstructured citizen science data fail to detect long‐term population declines of common birds in Denmark,2016,Diversity and …,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/ddi.12463/full,"https://scholar.google.com/scholar?cites=14138228617691027953&as_sdt=2005&sciodt=0,5&hl=en&num=20",66,2018-06-08,,,,,,,,,19,9.5,5,4,2
18,"AJA Stewart, TM Bantock, BC Beckmann…",The role of ecological interactions in determining species ranges and range changes,2015,Biological Journal of …,academic.oup.com,https://academic.oup.com/biolinnean/article-abstract/115/3/647/2440502,"https://scholar.google.com/scholar?cites=9894056460472098096&as_sdt=2005&sciodt=0,5&hl=en&num=20",67,2018-06-08,,,,,,,,,18,6,5,4,3
2,"QJ Groom, JL Durkin, J O'Reilly, A Mclay…","A benchmark survey of the common plants of South Northumberland and Durham, United Kingdom",2015,Biodiversity data …,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4699291/,"https://scholar.google.com/scholar?cites=2134623473460707792&as_sdt=2005&sciodt=0,5&hl=en&num=20",68,2018-06-08,HTML,,,,,,,,2,0.67,0,5,3
3,"GS Oxford, CD Smith","Distributions of Species in the Tegenaria atrica Group (Araneae: Agelenidae) in North-East England: Chance, Contingency and Priority",2014,Arachnology,BioOne,http://www.bioone.org/doi/abs/10.13156/arac.2012.16.5.145,"https://scholar.google.com/scholar?cites=12220400133386172472&as_sdt=2005&sciodt=0,5&hl=en&num=20",69,2018-06-08,,,,,,,,,3,0.75,2,2,4
20,PA Thomas,Biological flora of the British isles: Fraxinus excelsior,2016,Journal of Ecology,Wiley Online Library,http://onlinelibrary.wiley.com/doi/10.1111/1365-2745.12566/full,"https://scholar.google.com/scholar?cites=17013946465465995574&as_sdt=2005&sciodt=0,5&hl=en&num=20",70,2018-06-08,,,,,,,,,20,10,20,1,2
0,"P Lee, AD Barber, SJ Gregory",REPORT ON THE BMIG FIELD MEETING AT HALTWHISTLE 2014,2014,Bulletin of the British Myriapod & …,bmig.org.uk,http://www.bmig.org.uk/sites/www.bmig.org.uk/files/bulletin/BullBMIG30p84-94_BMIG-Haltwhistle.pdf,,71,2018-06-08,PDF,,,,,,,,0,0,0,3,4
8,"JG Packer, LA Meyerson, H Skalova, P Pyšek…",Biological Flora of the British Isles: Phragmites australis,2017,Journal of …,Wiley Online Library,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12797,"https://scholar.google.com/scholar?cites=11540714757339129350&as_sdt=2005&sciodt=0,5&hl=en&num=20",72,2018-06-08,,,,,,,,,8,8,2,5,1
1,NG Hodgetts,"Bryophyte survey of the Allt a'Chlachain, Munerigie",2014,Unpublished report for Gregor Cameron Consultancy …,,,"https://scholar.google.com/scholar?cites=13575902613672681944&as_sdt=2005&sciodt=0,5&hl=en&num=20",73,2018-06-08,CITATION,,,,,,,,1,0.25,1,1,4
0,"MP Johnson, A Wilson…","Appendix A: A Vertical Wall Dominated by Acesta excavata and Neopycnodonte zibrowii, Part of an Undersampled Group of Deep-Sea Habitats.",2016,Lateral transport of …,aran.library.nuigalway.ie,https://aran.library.nuigalway.ie/bitstream/handle/10379/6047/Annette%20Wilson_PhD%20Thesis_Final_27Sept2016_PRINT.pdf?sequence=1&isAllowed=y#page=260,,74,2018-06-08,PDF,,,,,,,,0,0,0,3,2
